,x_tbl,x_dfy,x_tms,x_svar,x_ill,x_infl,x_dy,x_lev,x_ep,x_ni,x_rf
1984/12/31,0.7,0.425,0.466666667,0.4,0.8,0.116666667,0.591666667,0.733333333,0.333333333,0.466666667,0.64
1985/1/31,0.5,0.35,0.866666667,0.416666667,0.766666667,0.116666667,0.666666667,0.816666667,0.375,0.383333333,0.65
1985/2/28,0.4375,0.416666667,0.966666667,0.458333333,0.741666667,0.116666667,0.575,0.733333333,0.333333333,0.4,0.58
1985/3/31,0.383333333,0.333333333,0.958333333,0.475,0.791666667,0.075,0.325,0.5,0.2,0.05,0.62
1985/4/30,0.475,0.2875,0.966666667,0.433333333,0.891666667,0.091666667,0.283333333,0.458333333,0.191666667,0.033333333,0.72
1985/5/31,0.483333333,0.320833333,0.933333333,0.375,0.916666667,0.116666667,0.308333333,0.466666667,0.2,0.05,0.66
1985/6/30,0.4,0.4625,0.958333333,0.308333333,0.991666667,0.083333333,0.408333333,0.558333333,0.208333333,0.008333333,0.55
1985/7/31,0.341666667,0.5125,0.8625,0.3,0.983333333,0.083333333,0.258333333,0.383333333,0.141666667,0.016666667,0.62
1985/8/31,0.308333333,0.545833333,0.941666667,0.25,0.991666667,0.116666667,0.225,0.325,0.133333333,0.016666667,0.55
1985/9/30,0.329166667,0.55,0.966666667,0.241666667,0.991666667,0.066666667,0.241666667,0.383333333,0.108333333,0.033333333,0.6
1985/10/31,0.333333333,0.533333333,0.925,0.158333333,1,0.058333333,0.275,0.45,0.116666667,0.041666667,0.65
1985/11/30,0.325,0.5,0.95,0.158333333,0.991666667,0.058333333,0.408333333,0.641666667,0.158333333,0.033333333,0.61
1985/12/31,0.333333333,0.5,0.891666667,0.15,1,0.058333333,0.291666667,0.591666667,0.083333333,0.058333333,0.65
1986/1/31,0.333333333,0.541666667,0.670833333,0.15,1,0.108333333,0.133333333,0.333333333,0.058333333,0.058333333,0.56
1986/2/28,0.304166667,0.520833333,0.525,0.158333333,1,0.191666667,0.058333333,0.208333333,0.016666667,0.1,0.53
1986/3/31,0.270833333,0.508333333,0.566666667,0.183333333,0.941666667,0.208333333,0.033333333,0.258333333,0.008333333,0.175,0.6
1986/4/30,0.258333333,0.5625,0.320833333,0.216666667,0.941666667,0.058333333,0.008333333,0.108333333,0.008333333,0.191666667,0.52
1986/5/31,0.225,0.641666667,0.3,0.241666667,0.95,0.008333333,0.008333333,0.041666667,0.008333333,0.2,0.49
1986/6/30,0.15,0.516666667,0.4,0.333333333,0.958333333,0.008333333,0.016666667,0.141666667,0.008333333,0.308333333,0.52
1986/7/31,0.166666667,0.395833333,0.541666667,0.375,0.975,0.016666667,0.016666667,0.083333333,0.008333333,0.208333333,0.52
1986/8/31,0.175,0.4125,0.391666667,0.466666667,0.866666667,0.025,0.008333333,0.041666667,0.008333333,0.266666667,0.46
1986/9/30,0.125,0.4625,0.533333333,0.608333333,0.875,0.016666667,0.041666667,0.15,0.025,0.458333333,0.45
1986/10/31,0.108333333,0.6125,0.508333333,0.616666667,0.833333333,0.008333333,0.008333333,0.075,0.008333333,0.516666667,0.46
1986/11/30,0.091666667,0.4625,0.791666667,0.733333333,0.85,0.041666667,0.066666667,0.258333333,0.05,0.583333333,0.39
1986/12/31,0.075,0.491666667,0.691666667,0.733333333,0.908333333,0.008333333,0.041666667,0.191666667,0.033333333,0.591666667,0.49
1987/1/31,0.091666667,0.495833333,0.583333333,0.791666667,0.941666667,0.008333333,0.041666667,0.133333333,0.033333333,0.575,0.42
1987/2/28,0.104166667,0.625,0.575,0.791666667,0.991666667,0.008333333,0.058333333,0.233333333,0.058333333,0.608333333,0.43
1987/3/31,0.083333333,0.466666667,0.575,0.808333333,1,0.025,0.008333333,0.025,0.008333333,0.558333333,0.47
1987/4/30,0.108333333,0.391666667,0.491666667,0.808333333,1,0.091666667,0.008333333,0.008333333,0.008333333,0.6,0.44
1987/5/31,0.104166667,0.375,0.595833333,0.816666667,0.983333333,0.15,0.008333333,0.008333333,0.008333333,0.591666667,0.38
1987/6/30,0.108333333,0.308333333,0.766666667,0.875,0.733333333,0.283333333,0.033333333,0.033333333,0.025,1,0.48
